pair,model,dose,lag,normalization,comparison,n_items,estimate,ci_low,ci_high,negative_rate
id_tl,qwen3_8b,8,2,mean,correct_exact_minus_language,33,1.9172534653634736,1.0592593655441747,2.812720966700351,0.24242424242424243
id_tl,qwen3_8b,8,2,sum,wrong_exact_minus_language,33,-0.591256401755593,-1.2975616166085908,0.06967163808418038,0.6060606060606061
id_tl,qwen3_8b,8,2,sum,wrong_exact_minus_surface,33,-0.7707522999156605,-1.6338211276314476,0.041983728697805374,0.5757575757575758
id_tl,qwen3_8b,8,2,sum,wrong_exact_minus_masked,33,-0.6603948708736536,-1.1441946318655303,-0.20259549690015408,0.6666666666666666
id_tl,qwen3_8b,8,2,sum,wrong_masked_minus_language,33,0.06913846911806049,-0.6765662330569643,0.761851753610552,0.5151515151515151
id_tl,qwen3_8b,8,2,sum,correct_exact_minus_language,33,2.783819805492054,0.9440179189046224,4.527844023704526,0.24242424242424243
id_tl,qwen3_8b,8,8,mean,wrong_exact_minus_language,33,-0.5093860192732378,-0.9642270174893466,-0.06862852934635048,0.696969696969697
id_tl,qwen3_8b,8,8,mean,wrong_exact_minus_surface,33,-0.07241019335660068,-0.665779070781939,0.5094032233411615,0.48484848484848486
id_tl,qwen3_8b,8,8,mean,wrong_exact_minus_masked,33,-0.36265571189649176,-0.7049513069066135,-0.019524665312334398,0.6363636363636364
id_tl,qwen3_8b,8,8,mean,wrong_masked_minus_language,33,-0.14673030737674597,-0.5114267179460237,0.23644729094071812,0.6060606060606061
id_tl,qwen3_8b,8,8,mean,correct_exact_minus_language,33,2.0825799595225942,1.1693203976660065,2.98659082289898,0.30303030303030304
id_tl,qwen3_8b,8,8,sum,wrong_exact_minus_language,33,-0.8849110169844194,-1.5479712977553859,-0.24769622340346867,0.5757575757575758
id_tl,qwen3_8b,8,8,sum,wrong_exact_minus_surface,33,-0.5634789033369585,-1.4127778624043321,0.2328766504923497,0.5454545454545454
id_tl,qwen3_8b,8,8,sum,wrong_exact_minus_masked,33,-0.8526243152040424,-1.3725745013265898,-0.3571956807916815,0.7272727272727273
id_tl,qwen3_8b,8,8,sum,wrong_masked_minus_language,33,-0.032286701780377014,-0.5626632726553714,0.48215596170136416,0.5151515151515151
id_tl,qwen3_8b,8,8,sum,correct_exact_minus_language,33,2.9382366411613696,1.198304067958485,4.6569853753754575,0.24242424242424243
zh_ja,gemma3_12b,1,0,mean,wrong_exact_minus_language,27,-4.107054083901285,-6.323815515796283,-2.2903855452128625,0.7777777777777778
zh_ja,gemma3_12b,1,0,mean,wrong_exact_minus_surface,27,-4.403896042620073,-6.846185588491736,-2.297312985926315,0.8518518518518519
zh_ja,gemma3_12b,1,0,mean,wrong_exact_minus_masked,27,0.07778745666318745,-1.0915942477221876,1.2412973848499218,0.48148148148148145
zh_ja,gemma3_12b,1,0,mean,wrong_masked_minus_language,27,-4.184841540564473,-5.877192068426585,-2.671050252848201,0.8888888888888888
zh_ja,gemma3_12b,1,0,mean,correct_exact_minus_language,27,11.574591593859994,7.569289785373904,15.976894670324743,0.037037037037037035
zh_ja,gemma3_12b,1,0,sum,wrong_exact_minus_language,27,-6.741445830704093,-9.484019640409947,-4.083990589481847,0.8518518518518519
zh_ja,gemma3_12b,1,0,sum,wrong_exact_minus_surface,27,-7.953752192875577,-11.313256933916085,-4.704725161917446,0.8148148148148148
zh_ja,gemma3_12b,1,0,sum,wrong_exact_minus_masked,27,0.6681670611724257,-1.378113733760633,2.748010095558987,0.48148148148148145
zh_ja,gemma3_12b,1,0,sum,wrong_masked_minus_language,27,-7.4096128918765185,-9.875039170320896,-4.980881717564167,0.8888888888888888
zh_ja,gemma3_12b,1,0,sum,correct_exact_minus_language,27,20.370154002448544,14.185083545288029,26.683794647401747,0.07407407407407407
zh_ja,gemma3_12b,1,2,mean,wrong_exact_minus_language,27,-1.7326388367865648,-3.661716137133987,0.43955014559000427,0.7037037037037037
zh_ja,gemma3_12b,1,2,mean,wrong_exact_minus_surface,27,-2.038733525046458,-4.0304478768052325,-0.14302284628049514,0.6666666666666666
zh_ja,gemma3_12b,1,2,mean,wrong_exact_minus_masked,27,-0.8147752201357098,-2.2624985976123115,0.7882086924359165,0.5555555555555556
zh_ja,gemma3_12b,1,2,mean,wrong_masked_minus_language,27,-0.9178636166508551,-1.887486379938545,0.12742174685484242,0.7037037037037037
zh_ja,gemma3_12b,1,2,mean,correct_exact_minus_language,27,10.038205784780008,6.324638158769381,14.331884070789368,0.07407407407407407
zh_ja,gemma3_12b,1,2,sum,wrong_exact_minus_language,27,-3.147112706175971,-6.110498055529401,0.31076735751703155,0.7037037037037037
zh_ja,gemma3_12b,1,2,sum,wrong_exact_minus_surface,27,-4.092117382265213,-7.498440845127873,-0.8718060501605382,0.7037037037037037
zh_ja,gemma3_12b,1,2,sum,wrong_exact_minus_masked,27,-1.5573261654590842,-3.7866546501034732,0.7672982872153318,0.5555555555555556
zh_ja,gemma3_12b,1,2,sum,wrong_masked_minus_language,27,-1.5897865407168865,-3.140438714378548,0.00217123732522538,0.7037037037037037
zh_ja,gemma3_12b,1,2,sum,correct_exact_minus_language,27,17.310336214524728,11.648787978495022,23.524417947267214,0.14814814814814814
zh_ja,gemma3_12b,1,8,mean,wrong_exact_minus_language,27,-1.0194794931707696,-2.41606018671947,0.6794588241420031,0.7037037037037037
zh_ja,gemma3_12b,1,8,mean,wrong_exact_minus_surface,27,-0.9244270213810658,-2.250277474284586,0.5309978317012312,0.7407407407407407
zh_ja,gemma3_12b,1,8,mean,wrong_exact_minus_masked,27,-0.46379332308209054,-1.8175637821300403,1.199750188256061,0.7407407407407407
zh_ja,gemma3_12b,1,8,mean,wrong_masked_minus_language,27,-0.5556861700886792,-1.2596293601326005,0.09414700143992098,0.5925925925925926
zh_ja,gemma3_12b,1,8,mean,correct_exact_minus_language,27,9.726376960166144,6.177378932187437,13.568260051242584,0.07407407407407407
zh_ja,gemma3_12b,1,8,sum,wrong_exact_minus_language,27,-3.1597702321165277,-5.858594081378369,-0.02446060413990667,0.8148148148148148
zh_ja,gemma3_12b,1,8,sum,wrong_exact_minus_surface,27,-3.1024830309087754,-5.389216953287056,-0.7612449716431681,0.7407407407407407
zh_ja,gemma3_12b,1,8,sum,wrong_exact_minus_masked,27,-2.045742064110797,-4.446802345012677,0.6212223719163025,0.6296296296296297
